"Promptbedingung","Bedingung","N","Mittelwert","Standardabweichung","Median","Minimum","Maximum","MW_Diff_yes_minus_no"
"Reflexionsanweisung","yes",20,2.15833333333333,0.183173774266262,2.16666666666667,2,2.66666666666667,0.516666666666667
"Reflexionsanweisung","no",20,1.64166666666667,0.111803398874989,1.66666666666667,1.5,1.83333333333333,0.516666666666667
"Hypothesen","yes",20,1.9,0.277836251155497,1.91666666666667,1.5,2.5,0
"Hypothesen","no",20,1.9,0.330691283746939,1.91666666666667,1.5,2.66666666666667,0
